capta,time_date,median,l_ci80,u_ci80,l_ci95,u_ci95
1,2019-08-01,46.381156686244026,41.39791864436766,52.21585804775379,39.10400855108894,55.78098161015333
1,2019-09-01,46.31783139410981,41.432648727405166,52.18297746610649,39.062016475754056,56.01887218559212
1,2019-10-01,45.307831998170244,40.64278417638198,50.29711854278328,38.27428796536777,53.7198527572298
1,2019-11-01,44.8412680201693,40.349607571582524,49.728420606584265,38.01434682311608,53.081320429869486
1,2019-12-01,44.218678530372905,40.093263134824824,48.73676712509476,37.834103140468756,51.64417741961018
1,2020-01-01,43.852803823301755,39.75912780783434,48.52596662872896,37.52789324561954,51.675742143265495
1,2020-02-01,42.61190054295922,38.55574384715801,46.61694754090854,35.78416344218272,49.10517984282027
1,2020-03-01,42.805504888431024,39.19355631607326,46.94655029138984,37.012933223571075,49.7751966559722
1,2020-04-01,42.669181000668246,39.13036327918689,46.99394309065105,37.17244306468048,50.33759948768304
1,2020-05-01,41.102218045966474,37.22856262933521,44.867135191068535,34.835756401886286,47.60526400600147
1,2020-06-01,40.85680412444387,37.01152016335473,44.576401388856915,34.261124787066734,47.052134168890355
1,2020-07-01,40.605918266217536,36.87039334820551,44.465682391571455,34.58235742786775,47.1022467301707
1,2020-08-01,40.15890777215833,36.41913982491843,44.01248136442338,34.00935788063289,46.75642864568805
1,2020-09-01,39.89397498504087,36.24742573580038,44.07233198051613,34.27984085265804,46.79908556789412
1,2020-10-01,39.24457321415679,35.598341507033965,43.292345385758686,33.43463872844586,45.8311615566679
1,2020-11-01,38.44985641017355,34.36829381902325,42.67606142368881,31.820145646157446,45.1186772417993
1,2020-12-01,38.16530811862406,34.18795720163337,42.42649126841293,31.8898936023867,45.086577870605176
1,2021-01-01,37.730209621310166,33.68969282605814,42.17316120928694,31.345903019217218,44.856971174888876
1,2021-02-01,37.145413307682475,32.78746893849146,41.654012480875814,30.023555079694223,44.2451602777434
1,2021-03-01,36.14619108771653,31.10483652448619,40.69676572178655,28.399024161221497,43.297988977388435
1,2021-04-01,35.73320185844598,30.686237766597507,40.50965440043038,27.469462834758353,43.44882997607526
1,2021-05-01,35.39733282718369,30.342651554084544,40.432231904683285,27.30826873167014,43.00527945036961
1,2021-06-01,35.30399802721697,30.30172457440128,40.471219798420165,27.489612625959168,43.495883272774385
1,2021-07-01,34.562131922690035,29.496663088934188,39.94782068310073,26.436996295487614,42.74762941472095
1,2021-08-01,35.01298937221527,29.98492064842825,40.68381973068349,27.297886874061696,44.26280220834407
1,2021-09-01,34.9017366444088,29.884809182154786,40.87783208122789,27.431612977980276,44.692618105262795
1,2021-10-01,33.9550454564772,28.78895046020024,39.922746439945406,26.1660027656031,43.433022519262096
1,2021-11-01,33.97335253538587,28.57710349086795,40.10694395512039,25.87716348334948,44.119944469652765
1,2021-12-01,34.07448210198794,28.34589761461201,40.693130523414524,25.85646833057092,45.16357644841833
1,2022-01-01,33.561135673612526,27.946680863364275,40.555898289351134,25.18559841321149,44.94495099718633
1,2022-02-01,32.84399650664683,27.087301031764646,39.84400750480337,24.331252183569433,43.858014845450185
1,2022-03-01,32.18242425513388,26.402303434772733,39.29319770236232,23.737933929630756,43.39949029319143
1,2022-04-01,32.29878929846509,26.150488210646017,39.40360626656791,23.49933932978035,44.25199690384588
1,2022-05-01,31.833654984829337,25.646862625684808,39.14719461185468,22.704636630168203,43.705927287061705
1,2022-06-01,31.36128192273712,25.00386976639117,39.01061895934469,22.07933817032988,43.30263748185418
